ID,Task,Response,Points (1),Task,Response,Points (1),Justification,Task,Response,Points (1),Task,Response,Points (2),Task,Response,Points,Justification,Task,Response,Points,Task,Response,Points,Justification,Task,Response,Points (4)
2,Q1x1,b),0,Q1x2,"1, 4",0,"""In the given code 
it was justifying the flow of it has to come through after if else there was again a condition to get the result rather than just coming directly at at result""",Q2x1,a),1,Q2x2,a) b) ,0,Q3x1,c),0,"""I think ist correct because the logic 
when we input i as 0 it justify the value of j by fulfilling the conditions.""",Q4x1,-,0,Q4x2,b),0,"""The 0 remains 0 in the second snippet because its only getting multiplied""",Q5x1,"""In the if and else if condition if the condition is same so i could be merged into one condition that would use less memory and increase the efficiency of the code.""",1
3,Q1x1,c),0,Q1x2,3,0,"""because the result was mentioned before the process step and multiplication""",Q2x1,a) c) ,0,Q2x2,b) d),1,Q3x1,b),1,"""as calculating a loop""",Q4x1,serise,0,Q4x2,c),0,"""other does not replace the negative value from the list""",Q5x1,"""overall i find it good .""",0
4,Q1x1,b),0,Q1x2,"1, 4",0,"""The other ones are missing certain elements of the code like final_result, etc.""",Q2x1,c),0,Q2x2,b),0,Q3x1,b),1,"""If i understood the question correctly if my answer is put in than everything = 0.""",Q4x1,count length of list,0,Q4x2,c),0,"""I cant remember why not looking 
at them""",Q5x1,"""numbers & output would be placed above the function & not under it. I would add comments. I would rename elements, like ""j"" , ""temp_d"" so it was more clear""",1
5,Q1x1,b),0,Q1x2,1,1,"""i think the option 1 flowchart has crct order""",Q2x1,a),1,Q2x2,b) c) ,1,Q3x1,a) b) c),0,"""Because in the values we have 1, 
where we are getting the negative values when we are subtracting""",Q4x1,Eliminating _negative_values,1,Q4x2,a) b),1,"""Because in the option 1 and 2 the methods replace the negative values with zero, and in option 3, this method adds the positive numbers with an extra 1 and stores the value, which does not satisfy the given condition.""",Q5x1,"""Here , you didn't defined and initialized the values of i and j but using in the method which throws an error. and you are assigning the value of d to m variable in both cases of comparison which will not work.""",2
6,Q1x1,a),1,Q1x2,1,1,"""Because it is the 
only flowchart accurate to the source code. The other ones were either lacking the final step of summarizing the values of the wrong list, or had the wrong variable initialized in the very beginning. (I think.. I don´t remember so well. Also comment on the flowchart: The flowcharts were very small and thus hard to read)""",Q2x1,a),1,Q2x2,c) d),2,Q3x1,b),1,"""Because with this input, at some point, 
the values 0 and 1 will be compared. Since 0 is smaller than 1, the program will attempt to subtract the smaller number from the bigger number. Since the smaller number is 0, the calculation will be 1-0 = 1. Hence, the resulting value does not change, v[i] and v[j] will still be the same numbers in the next iteration, thus the same whing will happen and the loop will not terminate. This is not the case with the other example inputs, since they do not contain a 0. (I did, however, not check whether they would ever reach the value 0 in the process of the program and what would happen then)""",Q4x1,removeNegatives,1,Q4x2,a) b),1,"""Both of these snippets check 
whether a value is smaller than zero, and if it is, replace it with 0, but do not replace the other number. The difference is, that one modifies the given list and the other one creates a new result list. However, this was not specified by the requirement. The third snippet did something completely different.""",Q5x1,"""Readability: Bad. I don't know what these one-character variables do. And the method name is bad. 'max' of what? Max was the name of my late cat. Efficiency: Bad. Why do we calculate a number *1 for two iterations of a loop that is then not used anyways? Correctness: Well, since the result will be the same regardless of what the if-condition at the end of the loop evaluates to, I will also rate it as 'bad'.""",2
7,Q1x1,c),0,Q1x2,-,0,"""guessed""",Q2x1,-,0,Q2x2,-,0,Q3x1,b),1,"""the input v as 0 would most likely create an issue.""",Q4x1,Array generator,0,Q4x2,a) ,0,"""because the first snippet looks for the numbers smaler than 0 and correct them to 0 the 3rd snippet was wrong because of the statement if [i]…that would correct the numbers above 0""",Q5x1,"""The readability of the code is ok. Could be clearer. My problem is to understand the code in its function. First i thought that the code is to sort the max Number of the array... but ist about the difference? The if elif block dont show the case of what will happen if d is smaler than m. What will happen if the d is smaler than m? there is no clear answer to that. will it just return the m as niggest number? the print is not clear.""",1
8,Q1x1,-,0,Q1x2,-,0,"""i skipped this one i think.""",Q2x1,a),1,Q2x2,d),1,Q3x1,b),1,""" i selected the 2nd option because when v(i) = 0, it cant reduce v(j) anymore and the loop goes on infinitely.""",Q4x1,natural_number_sort,0,Q4x2,a) b) ,1,"""snippet 1 and 2 were looping 
through the list to find negative numbers and replace them with 0 while keeping the 0´s and natural numbers intact. The only difference between them was that snippet 1 replaced the entire list and snippet 2 retained the original list while creating another one. Snippet 3 is incorrect because it was replacing the number by adding 1.""",Q5x1,"""the code is functionally correct. it returns the max difference. however, there is no point in the for loop that multiplies d with 1 and we dont use temp_d variable anywhere. it is readable and correct. however, the name makes it seem like its finding the biggest number in the list.""",1
9,Q1x1,-,0,Q1x2,-,0,,Q2x1,-,0,Q2x2,-,0,Q3x1,a) b),0,"""as an array formatwe""",Q4x1,process_range,0,Q4x2,-,0,,Q5x1,"""its good""",0
,Q1x1,,1/8 korrekt,,,4/8,,,,4/8,,,3/8 eine korrekt,,,5/8,,,,2/8,,,3/8,,,,Prestructural: 2/8
correct,,,12.50%,,,50%,,,,50%,,,1/8 beide korrekt,,,62.50%,,,,25%,,,37.50%,,,,Unistructural: 4/8
,,,,,,,,,,,,,37.50%,,,,,,,,,,,,,,Multistructural: 2/8
,,,,,,,,,,,,,12.50%,,,,,,,,,,,,,,25%
,,,,,,,,,,,,,,,,,,,,,,,,,,,50%
,,,,,,,,,,,,,,,,,,,,,,,,,,,25%
